tree_size,capacity,element_id,insertion_time_ms,anomaly_level,is_anomaly,distance_to_radius
10000,10,ID_6_N,0.003000,1,1,0.000000
10000,10,ID_7_N,0.003000,1,1,0.000000
10000,10,ID_8_N,0.008000,1,1,0.000000
10000,10,ID_9_N,0.003000,1,1,0.000000
50000,10,ID_0_N,0.003000,0,0,0.000000
50000,10,ID_1_N,0.004000,1,1,0.000000
50000,10,ID_2_N,0.003000,1,1,0.000000
50000,10,ID_3_N,0.009000,1,1,0.000000
50000,10,ID_4_N,0.004000,1,1,0.000000
50000,10,ID_5_N,0.003000,1,1,0.000000
50000,10,ID_6_N,0.003000,0,0,0.000000
50000,10,ID_7_N,0.003000,0,0,0.000000
50000,10,ID_8_N,0.004000,1,1,0.000000
50000,10,ID_9_N,0.003000,0,0,0.000000
